["port_00","LEFT"]
["port_01","RIGHT"]
["port_10","LEFT"]
["port_11","RIGHT"]
("port_00","mode 1",1,"port_00",1,"transmission")
(21, 3)
1.9548966532083331e+14 6.4173119361030717e-01 3.0978766822089753e+01
1.9611423294166666e+14 6.3078528235552456e-01 3.3464398451358107e+01
1.9673880056250000e+14 6.2003369275710640e-01 3.5949276189203772e+01
1.9736336818333331e+14 6.0915903757536261e-01 3.8433500959943103e+01
1.9798793580416666e+14 5.9846353525497298e-01 4.0916851334184877e+01
1.9861250342500000e+14 5.8824743389282608e-01 4.3399677391608364e+01
1.9923707104583331e+14 5.7796504311297792e-01 4.5881926563395261e+01
1.9986163866666666e+14 5.6763855384875062e-01 4.8363481916462831e+01
("port_01","mode 1",1,"port_11",1,"transmission")
(21, 3)
1.8737028624999997e+14 6.0669410886228011e-03 -1.7285417245443231e+00
1.8799485387083331e+14 4.7005555170928481e-03 -4.3341140523449146e+00
1.8861942149166662e+14 5.7564549841251141e-03 -6.6880341582470040e+00
1.8924398911249997e+14 7.1469475073276207e-03 -9.4334010065614962e+00
1.8986855673333331e+14 6.1014381887112574e-03 -1.2010953618749996e+01
1.9049312435416662e+14 7.1923902122056939e-03 -1.4468358807054337e+01
1.9111769197499997e+14 7.8718228747399303e-03 -1.7337187886700832e+01
1.9174225959583331e+14 7.5336430182404547e-03 -2.0127498065939090e+01
1.9236682721666666e+14 8.2999056207486120e-03 -2.2933817524690490e+01
1.9299139483749997e+14 8.6684830194683569e-03 -2.5795269479589361e+01
1.9361596245833331e+14 9.7174951891765195e-03 -2.8657694676628804e+01
1.9424053007916666e+14 1.0724309492563157e-02 -3.1572440863095498e+01
1.9486509769999997e+14 1.0682106277746826e-02 -3.4274050946481609e+01
1.9548966532083331e+14 1.1217432160785417e-02 -3.6776770823269480e+01
1.9611423294166666e+14 1.0208744363323270e-02 -3.9256093151819108e+01
1.9673880056250000e+14 8.0006363616557611e-03 -4.1345167116712574e+01
1.9736336818333331e+14 9.2463270316969891e-03 -4.3426641564341473e+01
1.9798793580416666e+14 9.3040962776683462e-03 -4.5684018415238846e+01
1.9861250342500000e+14 9.9325328967657060e-03 -4.8027744742901731e+01
1.9923707104583331e+14 9.1335143700221489e-03 -5.0644505243447263e+01
1.9986163866666666e+14 7.2437477877742018e-03 -5.3366505149957327e+01
("port_10","mode 1",1,"port_00",1,"transmission")
(21, 3)
1.8737028624999997e+14 5.9371476753449417e-03 -1.8035778182637197e+00
1.8799485387083331e+14 4.4855236496126024e-03 -4.3557127672427693e+00
1.8861942149166662e+14 5.4397899221163898e-03 -6.6757725613701950e+00
1.8924398911249997e+14 6.7156871658121684e-03 -9.4101161917840770e+00
1.8986855673333331e+14 5.9334132379832627e-03 -1.1956176133502355e+01
1.9049312435416662e+14 7.4316259366280476e-03 -1.4431924601040906e+01
1.9111769197499997e+14 8.1493727002351878e-03 -1.7298721361690784e+01
1.9174225959583331e+14 7.6454525127152943e-03 -2.0073539688629523e+01
1.9236682721666666e+14 8.2745247571016853e-03 -2.2901864874529501e+01
1.9299139483749997e+14 8.5925164666875338e-03 -2.5822230221671010e+01
1.9361596245833331e+14 9.7640521592409525e-03 -2.8717014559286465e+01
1.9424053007916666e+14 1.1021122327077595e-02 -3.1624603135126449e+01
1.9486509769999997e+14 1.1028431552585120e-02 -3.4317609933207208e+01
1.9548966532083331e+14 1.1321756787617510e-02 -3.6829143268518756e+01
1.9611423294166666e+14 9.9379806968454137e-03 -3.9310671661443223e+01
1.9673880056250000e+14 7.5101142016555057e-03 -4.1383411943927804e+01
1.9736336818333331e+14 8.8506088446485848e-03 -4.3438065480646983e+01
1.9798793580416666e+14 9.1809584711778514e-03 -4.5700647686960728e+01
1.9861250342500000e+14 1.0297183851617920e-02 -4.8057771027719696e+01
1.9923707104583331e+14 9.9131534297414482e-03 -5.0703578226333676e+01
1.9986163866666666e+14 8.1334789932209547e-03 -5.3419630253874288e+01
("port_10","mode 1",1,"port_01",1,"transmission")
(21, 3)
1.8737028624999997e+14 7.9291716076667385e-01 -1.3855192511657621e+00
1.8799485387083331e+14 7.8152667477454740e-01 1.1074324033814331e+00
1.8861942149166662e+14 7.7012284413698151e-01 3.5999509948188178e+00
1.8924398911249997e+14 7.5866191083007195e-01 6.0917452932216634e+00
1.8986855673333331e+14 7.4713126608344138e-01 8.5834991449195677e+00
1.9049312435416662e+14 7.3534931524960234e-01 1.1075082771589654e+01
1.9111769197499997e+14 7.2314647179377178e-01 1.3566401008349336e+01
1.9174225959583331e+14 7.1143870020638078e-01 1.6056976760958506e+01
1.9236682721666666e+14 7.0010261918577443e-01 1.8547374542791346e+01
1.9299139483749997e+14 6.8882550678908028e-01 2.1037792388560533e+01
1.9361596245833331e+14 6.7748092968465645e-01 2.3527000535594642e+01
1.9424053007916666e+14 6.6661331181721539e-01 2.6014554219799827e+01
1.9486509769999997e+14 6.5594074633831168e-01 2.8501463292612605e+01
1.9548966532083331e+14 6.4512232604185704e-01 3.0987861447377394e+01
1.9611423294166666e+14 6.3398257076191322e-01 3.3473383382220455e+01
1.9673880056250000e+14 6.2310200616494160e-01 3.5958183061015291e+01
1.9736336818333331e+14 6.1213487497511232e-01 3.8442288704285609e+01
1.9798793580416666e+14 6.0128642736054372e-01 4.0925554164748320e+01
1.9861250342500000e+14 5.9098989555720927e-01 4.3408170715542731e+01
1.9923707104583331e+14 5.8065752237360824e-01 4.5890292556925601e+01
1.9986163866666666e+14 5.7014493309005332e-01 4.8371697972049340e+01
("port_10","mode 1",1,"port_10",1,"transmission")
(21, 3)
1.8737028624999997e+14 2.1921847477665169e-02 -2.6591944038935349e+00
1.8799485387083331e+14 3.1074629843174991e-02 -2.8342141392778490e+00
1.8861942149166662e+14 3.3422998212002487e-02 -2.8127689075687452e+00
1.8924398911249997e+14 3.6264298181015224e-02 -2.4960806021180866e+00
1.8986855673333331e+14 2.5909763654604959e-02 -2.4777736273915840e+00
1.9049312435416662e+14 1.8545381902503159e-02 -2.6445511866599016e+00
1.9111769197499997e+14 2.8865151891987476e-02 -3.0091299488249006e+00
1.9174225959583331e+14 3.3743425649817783e-02 -2.6978467156719375e+00
1.9236682721666666e+14 2.7935721403894116e-02 -2.4369351000750759e+00
1.9299139483749997e+14 1.5460468482209205e-02 -2.6827294595763114e+00
1.9361596245833331e+14 2.6631111703999261e-02 -3.0954475174638723e+00
1.9424053007916666e+14 3.4158973544275342e-02 -2.7523309981743962e+00
1.9486509769999997e+14 2.6378225908263987e-02 -2.4512629760307489e+00
1.9548966532083331e+14 1.4652492976066550e-02 -2.4131813613020583e+00
1.9611423294166666e+14 2.0148106146150171e-02 -3.2032542762060290e+00
1.9673880056250000e+14 2.5214245496168870e-02 -3.1738863527961900e+00
1.9736336818333331e+14 3.0497289545100795e-02 -2.9930270504021297e+00
1.9798793580416666e+14 3.5483125656664005e-02 -2.7976900547653996e+00
1.9861250342500000e+14 2.7606793178541037e-02 -2.5053948265745380e+00
1.9923707104583331e+14 2.1478704361494495e-02 -2.3690414704803739e+00
1.9986163866666666e+14 1.7201776449004214e-02 -3.2396766326980835e+00
("port_10","mode 1",1,"port_11",1,"transmission")
(21, 3)
1.8737028624999997e+14 5.3673814774450379e-01 -2.9442919868472162e+00
1.8799485387083331e+14 5.5456127312348302e-01 -4.5168166868212234e-01
1.8861942149166662e+14 5.7174897746305675e-01 2.0408880255082154e+00
1.8924398911249997e+14 5.8864061064785222e-01 4.5325540957125003e+00
1.8986855673333331e+14 6.0484772338399473e-01 7.0237401579814591e+00
1.9049312435416662e+14 6.1989199094922587e-01 9.5147579099382984e+00
1.9111769197499997e+14 6.3408018752771611e-01 1.2005476231470565e+01
1.9174225959583331e+14 6.4795800009559879e-01 1.4495052194019697e+01
1.9236682721666666e+14 6.6103873575886651e-01 1.6984337209208579e+01
1.9299139483749997e+14 6.7343038468553973e-01 1.9473842610603139e+01
1.9361596245833331e+14 6.8539536021246306e-01 2.1962943928910409e+01
1.9424053007916666e+14 6.9720732179282585e-01 2.4451108462543463e+01
1.9486509769999997e+14 7.0895071061639947e-01 2.6938906462797060e+01
1.9548966532083331e+14 7.2058334829679038e-01 2.9426173894419236e+01
1.9611423294166666e+14 7.3134220588139898e-01 3.1912368455794958e+01
1.9673880056250000e+14 7.4148568836630602e-01 3.4397305063907503e+01
1.9736336818333331e+14 7.5126557039866415e-01 3.6881585287034639e+01
1.9798793580416666e+14 7.6076125647645843e-01 3.9364934028814091e+01
1.9861250342500000e+14 7.7000801579525902e-01 4.1847361807363320e+01
1.9923707104583331e+14 7.7890261601824673e-01 4.4329509212007736e+01
1.9986163866666666e+14 7.8741145208031937e-01 4.6811296237654176e+01
("port_11","mode 1",1,"port_00",1,"transmission")
(21, 3)
1.8737028624999997e+14 7.8738451241571550e-01 -1.3707412094986859e+00
1.8799485387083331e+14 7.7622214894520547e-01 1.1222421456140796e+00
1.8861942149166662e+14 7.6500165000564158e-01 3.6146898363786670e+00
1.8924398911249997e+14 7.5375162940573393e-01 6.1065631710300323e+00
1.8986855673333331e+14 7.4240351736851562e-01 8.5983214859648225e+00
1.9049312435416662e+14 7.3082252156186012e-01 1.1089818588773404e+01
1.9111769197499997e+14 7.1882242651371087e-01 1.3581058255404651e+01
1.9174225959583331e+14 7.0723834344872538e-01 1.6071614553977334e+01
1.9236682721666666e+14 6.9608685715643148e-01 1.8561972714252818e+01
1.9299139483749997e+14 6.8493687279456283e-01 2.1052363211298481e+01
1.9361596245833331e+14 6.7369608205179077e-01 2.3541569852798748e+01
1.9424053007916666e+14 6.6301712898890053e-01 2.6029120859079146e+01
1.9486509769999997e+14 6.5252700240078498e-01 2.8516033968462438e+01
1.9548966532083331e+14 6.4182975668107745e-01 3.1002323892936193e+01
1.9611423294166666e+14 6.3087423150469868e-01 3.3487783467256193e+01
1.9673880056250000e+14 6.2012510453280356e-01 3.5972597976219227e+01
1.9736336818333331e+14 6.0922895518617526e-01 3.8456615109880126e+01
1.9798793580416666e+14 5.9851615303078343e-01 4.0939814960984876e+01
1.9861250342500000e+14 5.8830501327311258e-01 4.3422478093627298e+01
1.9923707104583331e+14 5.7803847575011902e-01 4.5904554866924350e+01
1.9986163866666666e+14 5.6768745549814714e-01 4.8385929292917005e+01
("port_11","mode 1",1,"port_01",1,"transmission")
(21, 3)
1.8737028624999997e+14 5.6646951895869225e-03 -1.7752637264110309e+00
1.8799485387083331e+14 4.7248774303836677e-03 -4.4370621447569478e+00
1.8861942149166662e+14 6.0928482757639174e-03 -6.7468804218590286e+00
1.8924398911249997e+14 7.6093949156947113e-03 -9.4146681464113300e+00
1.8986855673333331e+14 6.2645555385845248e-03 -1.1937723153739443e+01
1.9049312435416662e+14 6.9619086838067223e-03 -1.4409156954686027e+01
1.9111769197499997e+14 7.4110772158739900e-03 -1.7351399946608524e+01
1.9174225959583331e+14 7.4706245944053439e-03 -2.0190098054252978e+01
1.9236682721666666e+14 8.7108484383258862e-03 -2.2961928434334599e+01
1.9299139483749997e+14 9.0360588709410966e-03 -2.5761269809285114e+01
1.9361596245833331e+14 9.5528535712150302e-03 -2.8611608947654020e+01
1.9424053007916666e+14 1.0258645011536260e-02 -3.1577562775723816e+01
1.9486509769999997e+14 1.0523891352103498e-02 -3.4315736035987570e+01
1.9548966532083331e+14 1.1465450443182170e-02 -3.6812253225472432e+01
1.9611423294166666e+14 1.0676828240666262e-02 -3.9263851705474515e+01
1.9673880056250000e+14 8.4560939796246345e-03 -4.1328507307636386e+01
1.9736336818333331e+14 9.5947149762224248e-03 -4.3392099099462172e+01
1.9798793580416666e+14 9.3929297717357790e-03 -4.5633875738092911e+01
1.9861250342500000e+14 9.6846735046352342e-03 -4.7986236828539390e+01
1.9923707104583331e+14 8.6576868034976499e-03 -5.0644848088282423e+01
1.9986163866666666e+14 7.0483610007135667e-03 -5.3427617741514908e+01
("port_11","mode 1",1,"port_10",1,"transmission")
(21, 3)
1.8737028624999997e+14 5.3307170686349914e-01 -2.9550606389712382e+00
1.8799485387083331e+14 5.5087213318453165e-01 -4.6223667637780080e-01
1.8861942149166662e+14 5.6799933606860920e-01 2.0304502270336005e+00
1.8924398911249997e+14 5.8484460667531890e-01 4.5222398726098740e+00
1.8986855673333331e+14 6.0108650826311316e-01 7.0136922440811400e+00
1.9049312435416662e+14 6.1614520164320907e-01 9.5048180480371958e+00
1.9111769197499997e+14 6.3032462430325564e-01 1.1995627458303503e+01
1.9174225959583331e+14 6.4424813109280621e-01 1.4485370541226230e+01
1.9236682721666666e+14 6.5736568014499219e-01 1.6974752794518860e+01
1.9299139483749997e+14 6.6978991498854878e-01 1.9464297572657099e+01
1.9361596245833331e+14 6.8176126066417408e-01 2.1953545402385423e+01
1.9424053007916666e+14 6.9354174074841601e-01 2.4441886497426864e+01
1.9486509769999997e+14 7.0529770708008444e-01 2.6929798977099420e+01
1.9548966532083331e+14 7.1696673491036966e-01 2.9417209908362121e+01
1.9611423294166666e+14 7.2779286046567637e-01 3.1903567594227571e+01
1.9673880056250000e+14 7.3800057156590682e-01 3.4388619567695336e+01
1.9736336818333331e+14 7.4782257367090332e-01 3.6873007822508136e+01
1.9798793580416666e+14 7.5733476560392843e-01 3.9356463589095085e+01
1.9861250342500000e+14 7.6664051224616292e-01 4.1839019908408837e+01
1.9923707104583331e+14 7.7553544939363905e-01 4.4321274609982019e+01
1.9986163866666666e+14 7.8408160995648191e-01 4.6803203035408927e+01
("port_11","mode 1",1,"port_11",1,"transmission")
(21, 3)
1.8737028624999997e+14 2.1982612849670766e-02 -2.9693034246508350e+00
1.8799485387083331e+14 3.0445795780352936e-02 -3.0180591869563482e+00
1.8861942149166662e+14 3.1654418244982732e-02 -2.9715800622966468e+00
1.8924398911249997e+14 3.2499497149437152e-02 -2.6484651476155232e+00
1.8986855673333331e+14 2.3468842962312039e-02 -2.6693809833965076e+00
1.9049312435416662e+14 1.6556456160171054e-02 -2.9645337142545709e+00
1.9111769197499997e+14 2.7614715228395384e-02 -3.2092646273088912e+00
1.9174225959583331e+14 3.1633294754479374e-02 -2.8599578771721026e+00
1.9236682721666666e+14 2.4388737523799255e-02 -2.6172054049277800e+00
1.9299139483749997e+14 1.3989746238032237e-02 -3.0741476007857487e+00
1.9361596245833331e+14 2.7568428069700529e-02 -3.2884927279636540e+00
1.9424053007916666e+14 3.2438315923136382e-02 -2.8640932037237712e+00
1.9486509769999997e+14 2.3039632958384126e-02 -2.5767762104527816e+00
1.9548966532083331e+14 1.1038808758571918e-02 -2.7922699523586698e+00
1.9611423294166666e+14 2.1300604524554706e-02 -3.4537723000101201e+00
1.9673880056250000e+14 2.5285465610103201e-02 -3.3321924601365529e+00
1.9736336818333331e+14 3.0438722271202690e-02 -3.1390230968527844e+00
1.9798793580416666e+14 3.3977859227024718e-02 -2.9351739644710504e+00
1.9861250342500000e+14 2.5344333229031735e-02 -2.6046406811349772e+00
1.9923707104583331e+14 1.7891767169657485e-02 -2.4925265090711610e+00
1.9986163866666666e+14 1.8749695574566561e-02 -3.5050956377928109e+00
